x	y	codepoint
0.24653389	0.02838948	10101
-0.19791892	0.16174497	10102
-0.18354477	0.15608764	10103
-0.18450607	0.15690628	10104
-0.17621517	0.15666895	10105
-0.1878847	0.16093628	10106
-0.18879476	0.1579302	10107
-0.18402275	0.16583003	10108
-0.18201864	0.15423994	10109
0.2694463	0.086496405	1011
-0.18443957	0.1583282	10110
-0.1691399	0.15293978	10111
0.063917436	0.056863718	10112
-0.030448517	0.09043014	10113
-0.023653178	0.08597976	10114
0.037450068	0.038187675	10115
-0.045852393	0.099392235	10116
-0.04455778	0.09997266	10117
0.023787947	0.056529228	10118
-0.044617966	0.10083438	10119
0.30315903	0.04043532	1012
-0.04561972	0.101600744	10120
-0.032731466	0.08178121	10121
-0.19429365	0.15979563	10122
-0.15848024	0.120512836	10123
-0.16350435	0.12648429	10124
-0.16780338	0.14354734	10125
-0.15045853	0.1140051	10126
-0.1491603	0.11044838	10127
-0.16495986	0.14381292	10128
-0.15302074	0.11564064	10129
0.25233647	-0.069785625	1013
-0.15538262	0.11630895	10130
-0.14082251	0.117253534	10131
-0.037814997	0.055046495	10132
0.07101036	-0.11282049	10133
0.12508619	-0.046574343	10134
0.07758171	-0.06628484	10135
0.07624548	-0.12576813	10136
0.12684889	-0.042688955	10137
0.0960693	-0.10910262	10138
0.1210298	-0.06359573	10139
0.24453266	-0.06961287	1014
0.051197417	-0.009075796	10140
0.122148566	-0.034693416	10141
0.09417355	-0.025896834	10142
0.12642409	-0.028837811	10143
0.11565662	-0.026202662	10144
0.11909703	-0.037286144	10145
-0.04011725	0.07069712	10146
-0.044883683	0.06996014	10147
-0.052562617	0.07522526	10148
0.11818255	-0.025850335	10149
0.30971757	0.009673284	1015
0.12701088	-0.03533516	10150
0.06919784	-0.18887769	10151
0.111582525	-0.04524694	10152
0.107110165	-0.033889595	10153
0.11087083	-0.038291704	10154
0.10188151	-0.027032396	10155
0.06828614	0.02299978	10156
0.10514954	-0.029537879	10157
0.06812453	0.005049709	10158
0.11701621	-0.035823345	10159
0.33304107	0.039759167	1016
0.22966678	-0.0030014527	10160
0.0834691	0.0020310476	10161
-0.07549593	0.14154528	10162
0.12119497	-0.03897287	10163
0.086360246	-0.119350575	10164
0.1419818	-0.04032314	10165
0.09284233	-0.0914039	10166
0.09076905	-0.08248105	10167
0.10598728	-0.02848783	10168
0.094058715	-0.070342645	10169
0.30203137	0.09000823	1017
0.08492543	-0.03151899	10170
0.10265047	-0.031196397	10171
0.12003882	-0.036714293	10172
0.07877591	-0.0146136	10173
0.1198846	-0.05127318	10174
0.13216448	-0.035308316	10175
0.29354495	-0.1474656	10176
0.08606031	-0.11396123	10177
0.2538852	-0.14894557	10178
0.111321926	-0.101189815	10179
0.32877246	0.044757582	1018
0.1075368	-0.093686126	10180
0.22738862	0.016040616	10181
0.22831924	0.023289766	10182
0.23504639	-0.059343334	10183
0.12745139	-0.055754796	10184
0.1323209	-0.042018797	10185
0.21342494	-0.02964669	10186
0.15457861	-0.21996005	10187
0.17646076	0.09431129	10188
0.1622348	-0.24836387	10189
0.30201706	0.010589298	1019
-0.1117365	0.04698961	10190
-0.11069838	0.05718069	10191
0.13230829	-0.15764086	10192
0.24865527	-0.07102464	10193
0.09894086	-0.111896574	10194
0.28961897	-0.17786112	10195
0.24625544	-0.08364568	10196
0.12464423	-0.036487147	10197
0.10941965	-0.04799898	10198
0.11633822	-0.032919362	10199
0.21985051	0.009268539	102
0.28792638	-0.0032905107	1020
0.08695977	-0.18606852	10200
0.15786128	0.086070836	10201
0.13396731	-0.073479794	10202
0.13168764	-0.07982345	10203
0.16377161	-0.062004205	10204
0.16502635	-0.059498474	10205
0.16893461	-0.05426192	10206
0.13576113	-0.22650944	10207
0.2650396	-0.004698069	10208
0.098920815	-0.07249175	10209
0.2900053	0.06331999	1021
0.09263335	-0.049958743	10210
0.11529612	-0.04292851	10211
-0.048946925	-0.011347449	10212
-0.06944827	0.049535103	10213
0.25675595	0.19718234	10214
0.24918576	0.19693145	10215
0.20334262	0.025271049	10216
0.20837666	0.056156296	10217
0.24904568	0.074409045	10218
0.2412464	0.058811173	10219
0.30005503	0.067156695	1022
0.22756545	0.008845974	10220
0.22244002	0.00016523409	10221
0.20348558	-0.012298534	10222
0.2038794	0.010136945	10223
0.07048598	-0.13623977	10224
0.059064142	-0.115145795	10225
0.13829385	-0.067019634	10226
0.12290511	-0.10185456	10227
0.13698298	-0.06251593	10228
0.17175017	-0.07146882	10229
0.29541147	0.060595922	1023
0.1655706	-0.0639371	10230
0.1656069	-0.0700107	10231
0.15960994	-0.068680234	10232
0.15141208	-0.06385349	10233
0.14141513	-0.06771713	10234
0.17102702	-0.06011668	10235
0.16516027	-0.06435722	10236
0.15780707	-0.052660614	10237
0.14075524	-0.060134713	10238
0.16997746	-0.065927885	10239
0.30735245	0.15997125	1024
0.21289371	0.042346437	10240
0.21850033	0.05928103	10241
0.22024383	0.045387354	10242
0.22450086	0.05449786	10243
0.21686997	0.022575917	10244
0.21810423	0.034454405	10245
0.22353236	0.01874161	10246
0.22809187	0.03156068	10247
0.21995118	0.06102895	10248
0.22666089	0.07241066	10249
0.29551783	0.17826928	1025
0.22370355	0.055153802	10250
0.23098068	0.07064279	10251
0.22177234	0.039642446	10252
0.22626989	0.056971848	10253
0.22830196	0.042671986	10254
0.23359694	0.052704178	10255
0.22978373	0.046869345	10256
0.233472	0.06771143	10257
0.23465754	0.04003627	10258
0.2410693	0.05525265	10259
0.24786653	0.011122243	1026
0.23288225	0.017410843	10260
0.23427506	0.038371377	10261
0.23883434	0.0146678705	10262
0.24281414	0.033434976	10263
0.23054568	0.06774872	10264
0.23977943	0.07380137	10265
0.2371699	0.06480475	10266
0.24389537	0.067004465	10267
0.23729421	0.04191416	10268
0.24117583	0.051840663	10269
0.25905854	0.14740492	1027
0.24473785	0.04948114	10270
0.24816428	0.052091345	10271
0.22870986	0.023560315	10272
0.23085575	0.051538553	10273
0.2328373	0.031737346	10274
0.23765533	0.049133867	10275
0.2299261	0.009525608	10276
0.2328778	0.029252665	10277
0.23246743	0.006313164	10278
0.2381242	0.022256883	10279
0.27460238	0.061241075	1028
0.23200572	0.04695274	10280
0.2361955	0.063461594	10281
0.23402815	0.048291624	10282
0.24066092	0.06490498	10283
0.23414095	0.035693042	10284
0.23976678	0.052093413	10285
0.2384369	0.03981915	10286
0.2437401	0.051148847	10287
0.24378268	0.030074807	10288
0.24516393	0.050858196	10289
0.29304543	0.0676704	1029
0.2457032	0.031132856	10290
0.25255886	0.049014222	10291
0.24569516	0.011148521	10292
0.24770647	0.036734972	10293
0.2491966	0.008685755	10294
0.2543774	0.029447483	10295
0.244211	0.051711366	10296
0.24874312	0.060879335	10297
0.24740534	0.052801285	10298
0.25414976	0.061769478	10299
0.30391678	-0.054770898	103
0.21783908	0.037224416	1030
0.24780257	0.035054304	10300
0.25324735	0.047359206	10301
0.25299895	0.038046796	10302
0.25932655	0.04908044	10303
0.2368732	0.032036442	10304
0.24158274	0.054789446	10305
0.24367	0.03352353	10306
0.24773417	0.050374836	10307
0.23983876	0.011752341	10308
0.24220988	0.03506408	10309
0.20279089	0.18716837	1031
0.247333	0.00719258	10310
0.25321543	0.02950413	10311
0.23574449	0.04675309	10312
0.2453734	0.06529211	10313
0.24311902	0.057094615	10314
0.25320837	0.063608296	10315
